Cation_ID,Cation_SMILES,Cation_PubChemID
C2024,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C,157847
C2023,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,8156
C0005,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC,24953
C0286,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC,71338507
C0775,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,13008320
C0819,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC,20030444
C0944,C[N+](C)(C)CCCCc1ccccc1,43506
C0186,C[N+](C)(C)CCCCCc1ccccc1,43921
C2022,CCCCCCCCCCCCCCCC[N+](C)(C)C,2681
C1707,C[N+](C)(C)CCOC(=O)c1ccccc1,16632
C0806,c1ccc(C[n+]2ccccc2)cc1,76136
C0008,CCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCCCC,11707758
C0514,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,16958
C1093,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,2734118
C2106,CCCCCCCCCCCCCC[N+](C)(C)C,14251
C0512,CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)CCCCCCCCCCCC,81602
C0034,CCCCCCCCCCCCCC[N+](CCCCC)(CCCCC)CCCCC,86167186
C0565,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,77072
C0807,c1ccc(OCC[n+]2ccccc2)cc1,6452150
C0933,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC,20289021
C2038,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCCC,53436408
C0979,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,21219
C2039,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,53431296
C0256,Fc1ccc(C[n+]2ccccc2)cc1,816720
C0234,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,75057
C2064,CCCCCCCCCCCC[N+](C)(C)C,8153
C0279,CCCCCCCCCCCCCCCCCC[n+]1ccccc1,76629
C0846,Cc1ccc[n+](Cc2ccccc2)c1,85334
C0946,Cc1cc[n+](CCc2ccccc2)cc1,411756
C1142,CCCCCCCCCCCCCCCCCC[N+](CC)(CC)CC,199322
C0880,CCCCCCCCCCCCCCCC[N+](C)(CCCC)CCCC,44612813
C0428,CCCCCCCCCCCCCCCC[n+]1ccccc1,2683
C1035,CCCCCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,21470280
C2063,CCCCCCCCCC[N+](CC)(CC)CCCCCCCCCC,4398051
C0559,CCCCCCCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,57466201
C1446,CCCCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,23086969
C1507,CCCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,57027342
C0841,c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,11695594
C0832,CCCCC[N+](CCCCC)(CCCCC)CCCCC,17249
C1804,CCCCCCCCCC[N+](C)(C)C,16389
C1506,CCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,87777582
C0020,CCCCCCCC[N+](CCC)(CCCCCCCC)CCCCCCCC,90450
C0831,CCCCCCCCCCCC[N+](C)(C)CCCC,407819
C1119,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,11181837
C1505,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,2785208
C1618,CCCCCCCCCCCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,18690400
C0358,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,2330
C0362,CCCCCCCCCCC[n+]1ccccc1,152991
C0527,CCCCCCCCCCCC[n+]1ccccc1,7718
C0535,CCCCCCCCCC[n+]1ccccc1,74160
C0906,CCCCCCCCCCCCC[n+]1ccccc1,10220896
C1504,CCCCCCCC[P+](CCCCCCC)(CCCCCCCC)CCCCCCCC,87776852
C1131,CCCCCCCCC[N+](C)(C)C,37620
C0209,CCCCCCCCCCCCCC[n+]1ccccc1,17736
C0850,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,8756
C1432,CCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,23086987
C1503,CCCCCCCC[P+](CCCCCC)(CCCCCCCC)CCCCCCCC,22750521
C1315,CCCCCCCC[n+]1ccccc1,75675
C1502,CCCCCCCC[P+](CCCCC)(CCCCCCCC)CCCCCCCC,21314328
C0825,CCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,3014946
C1238,CN(C)C(=O)c1ccc[n+](Cc2ccccc2)c1,67542532
C0973,CCCCCCCC[N+](C)(C)C,24950
C1555,CCCCCCC[n+]1ccccc1,12093589
C1423,CCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,18433457
C2095,CCCCCCCC[n+]1cccc2ccccc21,2308921
C1871,CCCCCCCCCCCCCC[N+](CC)(CC)CC,28911
C2081,CCCCCCCCCCCCc1cc[n+](C)cc1,15575952
C1606,CCCCCCCC[n+]1ccc2ccccc2c1,413520
C2272,CCCCCCCCCC[n+]1ccc2ccccc2c1,53932873
C1604,CCCCCC[n+]1cccc2ccccc21,2308919
C0222,CCCCCCCCCCCCCCCCCC[n+]1ccc(C)cc1,413357
C0990,CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,159629
C1757,CCCCCC[n+]1ccc2ccccc2c1,413360
C0853,CCCCCCCCCCCC[n+]1ccc(C)cc1,407370
C0710,CCCCCC[n+]1ccccc1,2734173
C0663,CCCCCCCCCCCC[n+]1ccc2ccccc2c1,7133
C0676,CCCCCCCCCCCCCC[n+]1ccc(C)cc1,17672
C0185,CCC[N+](C)(C)Cc1ccccc1,18921208
C1209,CCCCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,6333126
C0526,CCCCCCC[N+](C)(C)C,30142
C0703,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCO,3607463
C2174,CCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,2724570
C0737,C[N+](C)(C)CCCCCCCCCCOc1ccc(C=O)cc1,12040125
C1475,CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,86043016
C0800,CCCCCCCCCCCC[N+](C)(C)Cc1ccc(C(=O)c2ccccc2)cc1,71402012
C1297,CCCCCCCC[n+]1ccc(C)cc1,11449028
C0620,CCCCCCCCCCCCCCCC[n+]1ccc(C)cc1,75339
C0129,COCC[N+](C)(C)Cc1ccccc1,153361909
C2273,CCCCCCCCCCCCCC[n+]1ccc2ccccc2c1,53737788
C1501,CCCCCCCC[P+](CCCC)(CCCCCCCC)CCCCCCCC,21328166
C0462,Cc1n(Cc2ccccc2)cc[n+]1CC(=O)c1ccccc1,12277638
C0996,CCCCCCCCCCCC[n+]1ccc(CC)cc1,10086828
C0638,CCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,84717
C1109,CCCCCCCCCCCC[n+]1cccc(C)c1,416429
C1324,CCCCC[n+]1ccccc1,410720
C1445,CCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,86043177
C0721,CCCCCCCCCCCCCC[n+]1cccc(C)c1,21189125
C2348,CCCC[n+]1cccc2ccccc21,412683
C2068,CCCCCCCCCC[n+]1cccc(C)c1,44298487
C0849,CCCCCCCCCCCC[n+]1ccc(CCC)cc1,69390619
C0772,C[N+](C)(CCCO)Cc1ccccc1,414618
C2042,CCCC[n+]1ccc2ccccc2c1,413519
C0615,CCCCCCCC[n+]1ccc(CC)cc1,19069814
C0621,CCCCCCCCCCCCCC[n+]1ccc(CCCCCC)cc1,69398203
C2190,CC[n+]1ccccc1-c1ccccc1,20603121
C0524,CCCCCCCC[n+]1ccc(CCC)cc1,18377811
C0294,C[N+](C)(CCO)Cc1ccccc1,25772
C0538,CCCCCCCCCC[n+]1cccc(CCCCC)c1,69395985
C2274,CCCCCCCCCCCCCCCC[n+]1ccc2ccccc2c1,413358
C0701,CCCCCCCCCCCCCCCC[n+]1cccc(C)c1,75337
C2076,CCCCCCCCC[n+]1cccc(C)c1,44298506
C0135,CCCC[n+]1ccc(C(=O)OCC)cc1,85695516
C1115,CCCCCCCCCCCC[N+](CC)(CC)CC,28940
C1576,CCCCCCCC[N+](CCCC)(CCCC)CCCC,408233
C1228,CCCCCC[n+]1ccc(-c2ccncc2)cc1,58050946
C0709,CCCCCC[N+](C)(C)C,84774
C0332,CCCCCC[N+](C)(C)CCCCCC,158284
C1284,CCCCCC[n+]1ccc(C)cc1,11995186
C0419,CCCCCCCC[n+]1c(N)n(Cc2ccccc2)c2ccccc21,11292944
C1229,CCCCCCCCCC[n+]1ccc(-c2ccncc2)cc1,15115058
C0455,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,10292639
C1323,CCCCCCCC[n+]1cccc(C)c1,16689337
C1204,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,183729
C0844,CCCCCCCCCCCCCCCCCC[n+]1cccc(C)c1,413356
C0544,Cc1n(Cc2ccccc2)cc[n+]1CC(=O)c1ccc(Cl)cc1,12277642
C0747,C[N+](C)(C)CCCCCC(=O)O,4056838
C1233,CCCCCCCCCCCC(=O)OCC[n+]1ccccc1,5272254
C2083,C[n+]1ccn(Cc2ccc3ccccc3c2)c1,53474936
C1024,CCCCCCCCCCCCCCC[N+](C)(C)CCO,15792995
C0269,CCCCCCCCCCCCCCCC[N+](C)(C)c1ccccc1,428870
C0558,CCCCCCCCCCCCCC[n+]1cccc(CCCCC)c1,23338482
C0619,CCCCCCCCCCCCCCCCCC[n+]1ccc2ccccc2c1,413359
C1080,CCCCCCCCCC[N+](C)(C)CCCCCCCCCCC(=O)O,410148
C2075,CCCCCCC[n+]1cccc(C)c1,53297514
C2180,CCCCCCCCCCCCCCCCCC[N+]1(C)CCCCC1,54010400
C1575,CCCCCCC[N+](CCCC)(CCCC)CCCC,5003685
C1976,CCCC[n+]1ccc(-c2ccncc2)cc1,14219813
C0708,CCCCCCCC[P+](CC)(CCCCCCCC)CCCCCCCC,91982
C1234,CCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1,11812264
C1129,Cn1cc[n+](CC(=O)c2ccc(-c3ccccc3)cc2)c1,3113067
C1292,Cc1ccc(Cn2cc[n+](C)c2)cc1,21040655
C1399,CCCCCCCC[n+]1ccccc1C,21987892
C0786,CCCCCCCC[P+](CCC)(CCCCCCCC)CCCCCCCC,87508410
C0818,CCCCC[N+](C)(C)CCCCC,11149782
C0734,CCCC[n+]1ccccc1,193832
C1116,CCC(=O)OCCCCCCCCCCC[n+]1ccccc1,86164781
C2340,CCCCCCCCCC[N+](C)(C)CCC,17915707
C0601,C[n+]1ccn(C(c2ccccc2)c2ccccc2)c1,10731824
C1309,CCCCCC[n+]1cccc(C)c1,22568357
C1049,CCOC(=O)c1ccc[n+](C)c1,414701
C0425,CCCCOC(=O)c1ccc[n+](CCCC)c1,87431822
C0045,Cn1cc[n+](Cc2ccc(C(=O)c3ccccc3)cc2)c1,10498520
C1203,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,6332110
C0736,CCCCCCCCCCCC[n+]1c(N)n(Cc2ccccc2)c2ccccc21,11408834
C1951,CCCCn1cc[n+](Cc2ccccc2)c1,57352056
C2070,CCCCCCCCCCCCOC[n+]1ccccc1,12215340
C0069,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1,15333182
C0194,CCCCCCCCCCCC[N+](C)(C)CCO,81487
C0660,O=C(O)CCC[n+]1ccccc1,21578876
C0578,CCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1C,87811237
C2172,CCCCC[N+](C)(C)C,9022
C0138,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC(=O)OC,410153
C2119,CCCCCCCCCCCC[N+](C)(C)CC(=O)O,12687
C0165,Cc1n(CCc2ccccc2)cc[n+]1CC(=O)c1ccc(Br)cc1,12277646
C2376,CCCCCCCCCCCC[N+](C)(C)CCC(=O)O,9903969
C0297,CCCC[N+](CCCC)(CCCC)CCCC,16028
C2309,CCCCCCCCCCc1cccc[n+]1CC,86100946
C2179,CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1,3018172
C1076,CC[n+]1ccc(-c2ccncc2)cc1,10968974
C0136,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1O,14529749
C1601,CCCCCCCC[n+]1cccc(C)c1C,46210878
C0986,CCCCCCCCCCCC[N+](C)(C)CCOC(C)=O,13914767
C1578,CCOC(=O)c1ccc[n+](CC)c1,10828524
C0948,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCC,4190349
C0319,CCCCCC[N+](CCCC)(CCCC)CCCC,19858518
C2073,CCCCCCCCCOC[n+]1ccccc1,101622467
C2304,CCCCCCCCCc1cccc[n+]1CC,69393464
C1002,c1ccc(CO[n+]2ccccc2)cc1,4555752
C1110,CCOC(=O)C[n+]1ccccc1,87029
C0412,CCCCCCCCCC[N+](CC)(CC)CC,9835339
C1882,C[N+]1(Cc2ccccc2)CCCC1,18617909
C0047,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC(C)=O,431743
C1562,CCCCCCCCCC[N+](C)(C)CCO,431468
C0071,CCCCCCCCCC[N+](C)(C)CC(=O)O,75845
C0531,CCOC(=O)CC[n+]1ccccc1,3375770
C2290,CCCCCCCCN(CCCCCCCC)C(N(CCCCCCCC)CCCCCCCC)=[N+](C)C,12061396
C2077,CCCCC[n+]1cccc(C)c1,19876494
C2305,CCCCCCCCc1cccc[n+]1CC,101899393
C0741,CCCCCCCC[P+](C)(CCCCCCCC)CCCCCCCC,18705639
C0993,CCCCCCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1C,44229399
C1616,CCCCC[P+](CCCCC)(CCCCC)CCCCC,4489938
C0061,CCCCCC[n+]1ccc(N(C)C)cc1,20780593
C0537,CCCCCCCCCCCC[n+]1c(N)n(Cc2ccc(C)cc2)c2ccccc21,11465900
C1626,CCCCCCCCCCC[n+]1ccn(-c2ccc(OC)cc2)c1,89401629
C0787,CCCCCC[n+]1ccc(N2CCC(C)CC2)cc1,68489563
C2224,CCCCCCCCCCCCCCCCCC[N+](C)(C)C1CCCCC1,14671697
C1627,CCCCCC[n+]1ccn(-c2ccc(OC)cc2)c1,86653201
C0079,CCCCCCCCCCCCCC[NH3+],15687967
C1235,CCCCCCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1,21157900
C1865,CCCCCCC[N+](C)(C)CC,23088859
C0390,CCCCCCCCCCCC[n+]1c(N)n(CCCc2ccccc2)c2ccccc21,11386493
C0244,CCCCCCCCCCCC[N+](CC)(CC)CCC,14494918
C0576,CCCCCCCCCCCc1n(Cc2ccccc2)cc[n+]1C,416766
C0658,CCCCCCCCCCCCCn1cc[n+](C)c1,87616404
C0053,CCCC[n+]1cccc(C(=O)O)c1,67161694
C0845,CCCC[n+]1ccc(C)cc1,5128450
C1305,COCCC[n+]1ccccc1,69670037
C1416,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,86043175
C0303,Cc1ccccc1C[N+](C)(C)CCCO,414619
C1105,CCCCCCCCC[N+](C)(C)CCO,23621135
C2072,CCCCCCCOC[n+]1ccccc1,101622466
C0204,CCCCCCCCCCCCCCCC[N+](C)(CCO)CCO,10429907
C1732,CCCCCCCCCC[P+](CCCC)(CCCC)CCCC,11015386
C2306,CCCCCCCc1cccc[n+]1CC,101899392
C0328,COC(=O)c1ccc[n+](C)c1,78410
C0105,CC[n+]1ccn(CCc2ccccc2)c1,10705007
C2178,CCCCCCCCCCCCCC[N+]1(C)CCCCC1,68777859
C2080,CCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCC)c1cc[n+](C)cc1,11801593
C0396,CC[n+]1ccn(C(c2ccccc2)c2ccccc2)c1,10590234
C1563,CCCCCC[N+](C)(C)CCOCCCC,15022167
C0822,CCCCCC[N+](CC)(CC)CCCCCC,20092195
C1600,CCCCCCCC[n+]1cc(C)cc(C)c1,46210871
C0002,CCCCCCCCCCCCCCCC[N+](C)(C)C1CCCCC1,14671691
C0230,CCCC(=O)OCC[N+](C)(C)C,17233
C1415,CCCCCCN(CCCCCC)C(N(CCCCCC)CCCCCC)=[N+](C)C,11505428
C2177,CCCCCCCCCCCC[N+]1(C)CCCCC1,189195
C1089,CCCOC(=O)C[n+]1ccccc1,12266199
C0928,CCCCCCCCn1c[n+](CCCCCCCC)c2ccccc21,25223030
C1663,CCCCCC[N+](C)(C)CC(=O)OCC,101821282
C1050,CCCn1cc[n+](CC(=O)c2ccccc2)c1,13712104
C0513,CCCCCCCCCn1c(C)[n+](CCCCCCCCC)c2ccccc21,10434651
C2069,CCCCCCOC[n+]1ccccc1,101622465
C2099,CCCCCCCCCCCC[N+](C)(C)CCOCCO,3023890
C0605,CCCCCCCC[N+](C)(C)CCO,10104284
C1771,CCCCCCCCCC[N+](C)(C)C(C)C,102472159
C0192,CCCC[n+]1ccn(-c2ccc(OC)cc2)c1,57270292
C2065,CCCCCCCC[n+]1cc(CC)ccc1C,101506977
C2176,CCCCCCCCCCC[N+]1(C)CCCCC1,89512358
C2307,CCCCCCc1cccc[n+]1CC,67583968
C2222,CCCCCCCCCCCCCC[N+](C)(C)C1CCCCC1,14671685
C1126,CCCCCCCCCn1c[n+](CCCCCCCCC)c2ccccc21,53735952
C1766,CCCCCCCCCCCCn1cc[n+](CCCCCCCCCCCC)c1,5248238
C1764,CCCCCCCCCn1cc[n+](CCCCCCCCC)c1,11395507
C1763,CCCCCCCCn1cc[n+](CCCCCCCC)c1,15495089
C1765,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1,87897408
C1232,CC(C)COC(=O)C[n+]1ccccc1,85884628
C1884,C[N+](C)(C)CCCC(=O)O,134
C2175,CCCCCCCCCC[N+]1(C)CCCCC1,20286157
C0607,COC(=O)C[n+]1ccccc1,417104
C1226,CCCCCCCC[N+](CC)(CC)CC,11411485
C0476,CCN(CC)C(=O)c1ccc[n+](CC)c1,788077
C1371,CCCC[n+]1ccccc1-c1ccccn1,11329377
C1553,COCCOCC[n+]1ccccc1,18730305
C2235,CCCCCCCCCCCCCCCC[P+](CCC)(CCC)CCC,22491754
C0795,C[n+]1ccn(C(=O)c2ccccc2)c1,54173698
C0121,CCCCC[N+](C)(C)CC(=O)OCC,101783346
C1048,O=C(C[n+]1ccccc1)C1CCCCC1,436988
C1289,CCCC[n+]1cccc(C)c1,3510569
C1237,O=C1OCCN1C(=O)c1ccc[n+](Cc2ccccc2)c1,101130919
C1762,CCCCCCCn1cc[n+](CCCCCCC)c1,87896903
C1310,COCC[n+]1ccccc1,145574
C0203,CCC[n+]1ccccc1,176398
C1561,CCCCCCC[N+](C)(C)CCO,23621141
C2181,CCCCCCCCC[N+]1(C)CCCCC1,89512115
C2311,CCCCCc1cccc[n+]1CC,101899391
C0791,CCCCCC[n+]1cc(C)cc(C)c1,45255080
C2166,CCCCCC[n+]1ccc(C)cc1C,68578628
C1294,CCOCC[n+]1ccccc1,14495367
C2341,CCCCCC[N+](C)(C)CCC,23088822
C1950,CCCC[n+]1cc[nH]c1-c1ccccc1,14438469
C1554,COCCOCCOCC[n+]1ccccc1,101689366
C1767,CCCCCCCCCC[N+]1(C)CCCC1,20401938
C1083,CCCC[n+]1ccc(N(C)C)cc1,12039957
C0342,CCCCCCCCCCn1cc[n+](C)c1C,23105203
C0062,CC[n+]1ccccc1,15928
C0921,O=C(O)C[n+]1ccccc1,80440
C2368,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C,2775941
C1202,CCCCCCCC[P+](CCCC)(CCCC)CCCC,20519090
C1095,CCCC[N+](C)(C)C,24399
C0313,CCCC[N+](C)(C)CCCC,18615673
C1624,CCCCCC[n+]1ccn(-c2ccccc2C)c1,58249731
C0557,CCCCCCC[N+](CC)(CC)CC,14389559
C0804,CC[n+]1cccc(C(C)=O)c1,10082555
C1190,CCCCCCCC[N+](C)(C)C1CCCCC1,14671667
C0713,CCCCCCCCCc1n(C)cc[n+]1Cc1ccccc1,87809416
C0344,CC(C)CCC[N+](C)(C)C,58070799
C1761,CCCCCCn1cc[n+](CCCCCC)c1,13045372
C1973,CCCCOCC[N+](C)(C)CCCC,86249080
C0366,Cn1cc[n+](CC(=O)c2ccc3ccccc3c2)c1,4188095
C0130,CCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,87615860
C1300,OCCC[n+]1ccccc1,459573
C1683,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCCC,11199838
C1108,Cn1cc[n+](CCCc2ccccc2)c1,10752335
C1146,COc1ccc(C(=O)C[n+]2ccn(C)c2)cc1,1912897
C1684,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCCCC,11223132
C0365,CC(C)OC(=O)C[n+]1ccccc1,85615784
C0168,CCCCCCCC[N+]1(C)CCCCC1,14182175
C1685,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCCCCC,11384260
C1099,CCOc1ccc(C(=O)C[n+]2ccn(C)c2)cc1,13712100
C1270,CCCCCCCC[n+]1csc2ccccc21,72734631
C1682,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCC,11314554
C0599,C[n+]1ccccc1,13597
C0813,CCCCC[N+](CC)(CC)CCCCC,87534181
C1639,COCCOCC[N+](C)(C)C,13963307
C1686,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCCCCCC,11316160
C0189,CCCCCC[P+](CC)(CCCCCC)CCCCCC,12139256
C2058,CCCc1ccc[n+](C)c1,69392971
C1551,CCCCCCCCC[N+]1(C)CCCC1,66835403
C0633,CCCCCCCc1n(C)cc[n+]1Cc1ccccc1,87805767
C1613,CC(=O)OCC[N+](C)(C)C,187
C1147,C[n+]1ccc(CCCO)cc1,23397698
C0875,CCCCCCCCCCCc1n(Cc2ccccc2)cc[n+]1CCCCC,54462797
C1476,CCCCCC[P+](CCC)(CCCCCC)CCCCCC,86043172
C2330,CCC[n+]1ccc(C)cc1,4521251
C0585,Cn1cc[n+](Cc2ccccc2)c1Sc1ccccc1,10522575
C0403,CCCCCCCn1cc[n+](CC(=O)c2ccc(NS(C)(=O)=O)cc2)c1,13763360
C1687,CCCCCCCCCOC[N+](C)(C)CCOC(=O)CCCCCCCCC,11430502
C1059,CCC[n+]1cccc(C(N)=O)c1,408389
C0081,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,2734234
C0471,CCCCC[N+](C)(C)CC,23088838
C1124,Cn1cc[n+](CC(=O)c2cccc3ccccc23)c1,44313589
C0337,CCCC[N+](C)(CCCC)CCCC,36209
C0976,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,2734232
C1288,CCCC[n+]1ccccc1C,13240378
C1688,CCCCCCCCCCOC[N+](C)(C)CCOC(=O)CCCCCCCCC,11316865
C1602,CCCC[n+]1cccc(C)c1C,101506978
C2043,CCCCCCCCCCCOC[N+](C)(C)CCO,11255333
C1537,CCCCCC[N+](C)(C)CCO,10035083
C0777,O=S(=O)(O)CCC[n+]1ccccc1,84930
C1664,CCCC[N+](C)(C)CC(=O)OCC,91805186
C0059,CCCCCCCCCCCCCCC[n+]1ccn(C)c1,4140617
C0650,CC[n+]1ccc(C(N)=O)cc1,21766073
C1042,COc1ccc(C(=O)C[n+]2ccn(C)c2)cc1OC,1596743
C1955,CCCCCC[N+]1(C)CCCCCC1,139196089
C1307,CCCC[n+]1ccc(C)c(C)c1,22568358
C1269,CCCCCCC[n+]1csc2ccccc21,14933986
C2308,CCCCc1cccc[n+]1CC,101899390
C0250,CC[n+]1ccc(C)cc1,3711856
C2298,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1C,53358213
C1681,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCC,11187266
C1689,CCCCCCCCCCCOC[N+](C)(C)CCOC(=O)CCCCCCCCC,11431203
C1201,CCCCCCC[P+](CCCC)(CCCC)CCCC,20458629
C0922,NC(=O)CC[n+]1ccccc1,416200
C0352,CCCCCC[N+](CC)(CC)CC,193021
C1593,CCCCCCC[N+]1(C)CCCCC1,23088833
C0665,CCCCCCCCCCCCCC[n+]1ccn(C)c1,2734230
